Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
Antimicrobial resistance	Not Applicable	ceftiofur laboratory typing platform	ceftiofur_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	ceftiofur laboratory typing platform version	ceftiofur_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	ceftiofur measurement	ceftiofur_measurement		TRUE	The measured value of ceftiofur resistance.	4
Antimicrobial resistance	Not Applicable	ceftiofur measurement sign	ceftiofur_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	ceftiofur measurement units	ceftiofur_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	ceftiofur resistance phenotype	ceftiofur_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	ceftiofur resistant breakpoint	ceftiofur_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	ceftiofur susceptible breakpoint	ceftiofur_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	ceftiofur testing standard	ceftiofur_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	ceftiofur testing standard details	ceftiofur_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	ceftiofur testing standard version	ceftiofur_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	ceftiofur vendor name	ceftiofur_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	ceftriaxone intermediate breakpoint	ceftriaxone_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	ceftriaxone laboratory typing method	ceftriaxone_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	ceftriaxone laboratory typing platform	ceftriaxone_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	ceftriaxone laboratory typing platform version	ceftriaxone_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	ceftriaxone measurement	ceftriaxone_measurement		TRUE	The measured value of ceftriaxone resistance.	4
Antimicrobial resistance	Not Applicable	ceftriaxone measurement sign	ceftriaxone_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	ceftriaxone measurement units	ceftriaxone_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	ceftriaxone resistance phenotype	ceftriaxone_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	ceftriaxone resistant breakpoint	ceftriaxone_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	ceftriaxone susceptible breakpoint	ceftriaxone_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	ceftriaxone testing standard	ceftriaxone_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	ceftriaxone testing standard details	ceftriaxone_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	ceftriaxone testing standard version	ceftriaxone_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	ceftriaxone vendor name	ceftriaxone_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	cephalothin intermediate breakpoint	cephalothin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	cephalothin laboratory typing method	cephalothin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	cephalothin laboratory typing platform	cephalothin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	cephalothin laboratory typing platform version	cephalothin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	cephalothin measurement	cephalothin_measurement		TRUE	The measured value of cephalothin resistance.	4
Antimicrobial resistance	Not Applicable	cephalothin measurement sign	cephalothin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	cephalothin measurement units	cephalothin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	cephalothin resistance phenotype	cephalothin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	cephalothin resistant breakpoint	cephalothin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	cephalothin susceptible breakpoint	cephalothin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	cephalothin testing standard	cephalothin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	cephalothin testing standard details	cephalothin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	cephalothin testing standard version	cephalothin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	cephalothin vendor name	cephalothin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	chloramphenicol intermediate breakpoint	chloramphenicol_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	chloramphenicol laboratory typing method	chloramphenicol_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	chloramphenicol laboratory typing platform	chloramphenicol_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	chloramphenicol laboratory typing platform version	chloramphenicol_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	chloramphenicol measurement	chloramphenicol_measurement		TRUE	The measured value of chloramphenicol resistance.	4
Antimicrobial resistance	Not Applicable	chloramphenicol measurement sign	chloramphenicol_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	chloramphenicol measurement units	chloramphenicol_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	chloramphenicol resistance phenotype	chloramphenicol_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	chloramphenicol resistant breakpoint	chloramphenicol_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	chloramphenicol susceptible breakpoint	chloramphenicol_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	chloramphenicol testing standard	chloramphenicol_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	chloramphenicol testing standard details	chloramphenicol_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	chloramphenicol testing standard version	chloramphenicol_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	chloramphenicol vendor name	chloramphenicol_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	ciprofloxacin intermediate breakpoint	ciprofloxacin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	ciprofloxacin laboratory typing method	ciprofloxacin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	ciprofloxacin laboratory typing platform	ciprofloxacin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	ciprofloxacin laboratory typing platform version	ciprofloxacin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	ciprofloxacin measurement	ciprofloxacin_measurement		TRUE	The measured value of ciprofloxacin resistance.	4
Antimicrobial resistance	Not Applicable	ciprofloxacin measurement sign	ciprofloxacin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	ciprofloxacin measurement units	ciprofloxacin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	ciprofloxacin resistance phenotype	ciprofloxacin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	ciprofloxacin resistant breakpoint	ciprofloxacin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	ciprofloxacin susceptible breakpoint	ciprofloxacin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	ciprofloxacin testing standard	ciprofloxacin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	ciprofloxacin testing standard details	ciprofloxacin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	ciprofloxacin testing standard version	ciprofloxacin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	ciprofloxacin vendor name	ciprofloxacin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	clindamycin intermediate breakpoint	clindamycin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	clindamycin laboratory typing method	clindamycin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	clindamycin laboratory typing platform	clindamycin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	clindamycin laboratory typing platform version	clindamycin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	clindamycin measurement	clindamycin_measurement		TRUE	The measured value of clindamycin resistance.	4
Antimicrobial resistance	Not Applicable	clindamycin measurement sign	clindamycin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	clindamycin measurement units	clindamycin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	clindamycin resistance phenotype	clindamycin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	clindamycin resistant breakpoint	clindamycin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	clindamycin susceptible breakpoint	clindamycin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	clindamycin testing standard	clindamycin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	clindamycin testing standard details	clindamycin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	clindamycin testing standard version	clindamycin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	clindamycin vendor name	clindamycin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	doxycycline intermediate breakpoint	doxycycline_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	doxycycline laboratory typing method	doxycycline_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	doxycycline laboratory typing platform	doxycycline_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	doxycycline laboratory typing platform version	doxycycline_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	doxycycline measurement	doxycycline_measurement		TRUE	The measured value of doxycycline resistance.	4
Antimicrobial resistance	Not Applicable	doxycycline measurement sign	doxycycline_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	doxycycline measurement units	doxycycline_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	doxycycline resistance phenotype	doxycycline_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	doxycycline resistant breakpoint	doxycycline_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	doxycycline susceptible breakpoint	doxycycline_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	doxycycline testing standard	doxycycline_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	doxycycline testing standard details	doxycycline_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	doxycycline testing standard version	doxycycline_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	doxycycline vendor name	doxycycline_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	enrofloxacin intermediate breakpoint	enrofloxacin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	enrofloxacin laboratory typing method	enrofloxacin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	enrofloxacin laboratory typing platform	enrofloxacin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	enrofloxacin laboratory typing platform version	enrofloxacin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	enrofloxacin measurement	enrofloxacin_measurement		TRUE	The measured value of enrofloxacin resistance.	4
Antimicrobial resistance	Not Applicable	enrofloxacin measurement sign	enrofloxacin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	enrofloxacin measurement units	enrofloxacin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	enrofloxacin resistance phenotype	enrofloxacin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	enrofloxacin resistant breakpoint	enrofloxacin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	enrofloxacin susceptible breakpoint	enrofloxacin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	enrofloxacin testing standard	enrofloxacin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	enrofloxacin testing standard details	enrofloxacin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	enrofloxacin testing standard version	enrofloxacin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	enrofloxacin vendor name	enrofloxacin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	erythromycin intermediate breakpoint	erythromycin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	erythromycin laboratory typing method	erythromycin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	erythromycin laboratory typing platform	erythromycin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	erythromycin laboratory typing platform version	erythromycin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	erythromycin measurement	erythromycin_measurement		TRUE	The measured value of erythromycin resistance.	4
Antimicrobial resistance	Not Applicable	erythromycin measurement sign	erythromycin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	erythromycin measurement units	erythromycin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	erythromycin resistance phenotype	erythromycin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	erythromycin resistant breakpoint	erythromycin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	erythromycin susceptible breakpoint	erythromycin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	erythromycin testing standard	erythromycin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	erythromycin testing standard details	erythromycin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	erythromycin testing standard version	erythromycin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	erythromycin vendor name	erythromycin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	florfenicol intermediate breakpoint	florfenicol_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	florfenicol laboratory typing method	florfenicol_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	florfenicol laboratory typing platform	florfenicol_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	florfenicol laboratory typing platform version	florfenicol_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	florfenicol measurement	florfenicol_measurement		TRUE	The measured value of florfenicol resistance.	4
Antimicrobial resistance	Not Applicable	florfenicol measurement sign	florfenicol_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	florfenicol measurement units	florfenicol_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	florfenicol resistance phenotype	florfenicol_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
